,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dunedin,-45.8742,170.5036,58.8,85,100,17.0,NZ,1645505259
1,Bandarbeyla,9.4942,50.8122,78.21,74,47,15.77,SO,1645505265
2,Yangi Marg`ilon,40.4272,71.7189,47.62,45,100,2.3,UZ,1645505270
3,Esperance,-33.8667,121.9,91.24,42,1,8.34,AU,1645505276
4,Narsaq,60.9167,-46.05,-1.98,70,97,6.13,GL,1645505282
5,Micheweni,-4.9667,39.8333,81.82,78,100,10.87,TZ,1645505287
6,Avarua,-21.2078,-159.775,82.45,78,20,16.11,CK,1645505293
7,Batemans Bay,-35.7167,150.1833,75.2,88,100,0.92,AU,1645505131
8,Souillac,-20.5167,57.5167,83.35,89,75,18.41,MU,1645505304
9,Ushuaia,-54.8,-68.3,51.46,93,100,20.71,AR,1645505166
10,Touros,-5.1989,-35.4608,81.5,77,100,8.99,BR,1645505314
11,Dikson,73.5069,80.5464,11.98,94,100,11.99,RU,1645505320
12,Rafai,4.95,23.9167,65.57,32,91,1.83,CF,1645505326
13,Carnarvon,-24.8667,113.6333,86.07,66,10,19.57,AU,1645505331
14,Tuatapere,-46.1333,167.6833,57.97,65,89,11.5,NZ,1645505336
15,Upington,-28.4478,21.2561,59.38,55,0,3.44,ZA,1645505342
16,Hong Kong,22.2855,114.1577,52.18,94,100,8.01,HK,1645505297
17,Saint Paul Harbor,57.79,-152.4072,42.31,81,100,14.97,US,1645505353
18,Cherskiy,68.75,161.3,-44.52,99,100,3.98,RU,1645505358
19,Rikitea,-23.1203,-134.9692,77.95,70,28,5.59,PF,1645505364
20,Punta Arenas,-53.15,-70.9167,55.51,76,20,18.41,CL,1645505057
21,Butaritari,3.0707,172.7902,81.82,80,73,20.45,KI,1645505374
22,Yellowknife,62.456,-114.3525,-18.58,91,20,8.05,CA,1645505086
23,Ponta do Sol,32.6667,-17.1,64.0,53,54,11.1,PT,1645505391
24,Lodwar,3.1191,35.5973,83.14,45,100,5.53,KE,1645505396
25,Puerto Ayora,-0.7393,-90.3518,76.55,92,25,4.0,EC,1645505401
26,Hervey Bay,-25.2986,152.8535,89.04,72,7,8.01,AU,1645505407
27,Jena,50.9333,11.5833,39.65,69,99,17.29,DE,1645505412
28,Atuona,-9.8,-139.0333,78.67,74,3,16.51,PF,1645505418
29,Hermanus,-34.4187,19.2345,59.9,80,6,4.47,ZA,1645505423
30,Busselton,-33.65,115.3333,91.09,45,0,10.31,AU,1645505429
31,Sri Aman,1.2376,111.4621,86.09,70,40,1.14,MY,1645505434
32,Balabac,7.9868,117.0645,82.9,74,100,17.18,PH,1645505440
33,Biak,-0.9131,122.8766,78.62,76,100,8.9,ID,1645505445
34,Loíza,18.4313,-65.8802,75.87,80,20,10.36,PR,1645505456
35,Bluff,-46.6,168.3333,56.8,63,91,19.33,NZ,1645505462
36,Fortuna,40.5982,-124.1573,41.67,94,40,6.91,US,1645505467
37,Ngunguru,-35.6167,174.5,78.17,74,18,9.98,NZ,1645505472
38,Nuuk,64.1835,-51.7216,-18.53,84,42,9.33,GL,1645505478
39,East London,-33.0153,27.9116,65.34,88,0,8.05,ZA,1645505483
40,Te Anau,-45.4167,167.7167,59.13,79,89,1.07,NZ,1645505407
41,Erenhot,43.6475,111.9767,13.89,63,1,12.5,CN,1645504924
42,Nikolskoye,59.7035,30.7861,36.88,97,100,5.86,RU,1645505456
43,Geraldton,-28.7667,114.6,88.21,51,2,23.02,AU,1645505505
